"Postcode","Include","Confirmed","Population","Cases.per.100K","Employed.transport","Employed.Persons","Employed.transport.Percent"
"3141","Yes",49,25147,194.85,338,15092,2.24
"3142","Yes",24,12909,185.92,119,6483,1.836
"3143","Yes",26,9054,287.17,100,4890,2.045
"3144","Yes",18,10886,165.35,124,5280,2.348
"3145","Yes",28,23295,120.2,280,11125,2.517
"3146","Yes",22,25255,87.11,302,13120,2.302
"3147","Yes",21,14637,143.47,211,6782,3.111
"3148","Yes",16,8641,185.16,145,4157,3.488
"3149","Yes",25,33611,74.38,497,15200,3.27
"3150","Yes",58,60079,96.54,865,26092,3.315
"3151","Yes",7,10273,68.14,165,4471,3.69
"3152","Yes",23,33092,69.5,544,16042,3.391
"3153","Yes",9,20554,43.79,391,10049,3.891
"3154","Yes",1,4419,22.63,79,2243,3.522
"3155","Yes",10,22195,45.06,406,10838,3.746
"3156","Yes",15,37464,40.04,696,19257,3.614
"3158","Yes",3,6652,45.1,125,3604,3.468
"3159","Yes",3,2648,113.29,42,1354,3.102
"3160","Yes",7,9014,77.66,147,4774,3.079
"3161","Yes",18,15269,117.89,154,7623,2.02
"3162","Yes",9,17448,51.58,219,8562,2.558
"3163","Yes",29,32353,89.64,506,16567,3.054
"3165","Yes",19,27635,68.75,456,13208,3.452
"3166","Yes",17,23757,71.56,392,11445,3.425
"3167","Yes",15,9261,161.97,221,4409,5.012
"3168","Yes",20,20197,99.02,298,7533,3.956
"3169","Yes",18,20122,89.45,493,8753,5.632
"3170","Yes",20,19368,103.26,413,8813,4.686
"3171","Yes",14,21714,64.47,470,8073,5.822
"3172","Yes",13,23089,56.3,463,10325,4.484
"3173","Yes",32,25785,124.1,593,11760,5.043
"3174","Yes",25,38461,65,985,15587,6.319
"3175","Yes",191,53297,358.37,1120,19702,5.685
"3177","Yes",32,11306,283.04,233,3819,6.101
"3178","Yes",30,33672,89.09,688,17946,3.834
"3179","Yes",9,6022,149.45,141,2982,4.728
"3180","Yes",3,7462,40.2,104,3557,2.924
"3181","Yes",61,20260,301.09,315,12250,2.571
"3182","Yes",45,23391,192.38,425,13930,3.051
"3183","Yes",34,18497,183.81,262,10597,2.472
"3184","Yes",10,15543,64.34,287,9461,3.034
"3185","Yes",24,12929,185.63,167,6811,2.452
"3186","Yes",48,23253,206.42,275,10721,2.565
"3187","Yes",12,15998,75.01,203,7253,2.799
"3188","Yes",8,18083,44.24,257,8603,2.987
"3189","Yes",5,5895,84.82,117,2817,4.153
"3190","Yes",56,10454,535.68,168,5196,3.233
"3191","Yes",7,10241,68.35,130,4977,2.612
"3192","Yes",20,22291,89.72,365,10902,3.348
"3193","Yes",16,19508,82.02,225,9252,2.432
"3194","Yes",6,12965,46.28,210,6605,3.179
"3195","Yes",29,35869,80.85,635,18364,3.458
"3196","Yes",51,25327,201.37,414,12356,3.351
"3197","Yes",8,11548,69.28,196,5812,3.372
"3198","Yes",11,16463,66.82,312,7631,4.089
"3199","Yes",48,54298,88.4,864,24412,3.539
"3200","Yes",16,5762,277.68,126,1827,6.897
"3201","Yes",19,20711,91.74,582,9975,5.835
"3202","Yes",0,2907,0,63,1416,4.449
"3204","Yes",36,30635,117.51,459,15128,3.034
"3205","Yes",14,10920,128.21,166,5770,2.877
"3206","Yes",17,10359,164.11,153,5134,2.98
"3207","Yes",35,16175,216.38,420,8946,4.695
"3335","Yes",27,5856,461.07,289,2855,10.123
"3337","Yes",161,36454,441.65,1662,15248,10.9
"3427","Yes",11,2763,398.12,153,1420,10.775
"3428","No",0,675,0,32,311,10.289
"3429","Yes",84,36297,231.42,1897,17959,10.563
"3752","Yes",77,24060,320.03,775,11819,6.557
"3765","Yes",14,6761,207.07,102,3360,3.036
"3766","No",1,1239,80.71,27,653,4.135
"3767","No",2,1251,159.87,14,614,2.28
"3770","Yes",1,3218,31.08,62,1698,3.651
"3775","Yes",3,3861,77.7,58,1965,2.952
"3777","Yes",10,10751,93.01,164,4841,3.388
"3781","Yes",1,4477,22.34,89,2256,3.945
"3782","Yes",2,7827,25.55,127,3921,3.239
"3786","Yes",2,1518,131.75,25,782,3.197
"3787","No",0,1062,0,12,559,2.147
"3788","Yes",0,1738,0,24,875,2.743
"3789","No",0,265,0,3,129,2.326
"3791","No",1,1437,69.59,21,753,2.789
"3792","No",0,1065,0,15,518,2.896
"3793","Yes",1,3577,27.96,49,1737,2.821
"3795","No",0,1246,0,23,635,3.622
"3796","Yes",3,9702,30.92,166,5023,3.305
