"Postcode","Include","Confirmed","Population","Cases.per.100K","Low.income.Persons","Total.over.15","Low.income.Percent"
"3137","Yes",69,13871,497.44,3289,9535,34.49
"3138","Yes",23,21967,104.7,4839,14905,32.47
"3139","Yes",8,13718,58.32,3014,9074,33.22
"3140","Yes",20,16531,120.98,3892,11352,34.28
"3141","Yes",49,25147,194.85,3326,18641,17.84
"3142","Yes",24,12909,185.92,1598,9228,17.32
"3143","Yes",26,9054,287.17,1371,6464,21.21
"3144","Yes",18,10886,165.35,1549,7395,20.95
"3145","Yes",28,23295,120.2,4282,15241,28.1
"3146","Yes",22,25255,87.11,4076,17049,23.91
"3147","Yes",21,14637,143.47,3074,9525,32.27
"3148","Yes",16,8641,185.16,1963,5757,34.1
"3149","Yes",25,33611,74.38,7455,22468,33.18
"3150","Yes",58,60079,96.54,14140,39751,35.57
"3151","Yes",7,10273,68.14,2823,7035,40.13
"3152","Yes",23,33092,69.5,7951,22855,34.79
"3153","Yes",9,20554,43.79,4603,13867,33.19
"3154","Yes",1,4419,22.63,936,2937,31.87
"3155","Yes",10,22195,45.06,5401,15517,34.81
"3156","Yes",15,37464,40.04,8483,25638,33.09
"3158","Yes",3,6652,45.1,1372,4590,29.89
"3159","Yes",3,2648,113.29,528,1709,30.9
"3160","Yes",7,9014,77.66,1940,6124,31.68
"3161","Yes",18,15269,117.89,2476,10221,24.22
"3162","Yes",9,17448,51.58,3249,11713,27.74
"3163","Yes",29,32353,89.64,6379,22073,28.9
"3165","Yes",19,27635,68.75,5785,18144,31.88
"3166","Yes",17,23757,71.56,5332,15781,33.79
"3167","Yes",15,9261,161.97,2423,6352,38.15
"3168","Yes",20,20197,99.02,4860,11830,41.08
"3169","Yes",18,20122,89.45,5598,13501,41.46
"3170","Yes",20,19368,103.26,4617,12849,35.93
"3171","Yes",14,21714,64.47,6717,13564,49.52
"3172","Yes",13,23089,56.3,5892,15175,38.83
"3173","Yes",32,25785,124.1,5900,16444,35.88
"3174","Yes",25,38461,65,10657,24812,42.95
"3175","Yes",191,53297,358.37,14886,33275,44.74
"3177","Yes",32,11306,283.04,3405,7025,48.47
"3178","Yes",30,33672,89.09,7279,22974,31.68
"3179","Yes",9,6022,149.45,1365,3986,34.24
"3180","Yes",3,7462,40.2,1716,5076,33.81
"3181","Yes",61,20260,301.09,3397,15364,22.11
"3182","Yes",45,23391,192.38,3433,17125,20.05
"3183","Yes",34,18497,183.81,2867,13014,22.03
"3184","Yes",10,15543,64.34,1938,11250,17.23
"3185","Yes",24,12929,185.63,2102,8785,23.93
"3186","Yes",48,23253,206.42,3545,15541,22.81
"3187","Yes",12,15998,75.01,2884,10444,27.61
"3188","Yes",8,18083,44.24,3548,11939,29.72
"3189","Yes",5,5895,84.82,1343,3984,33.71
"3190","Yes",56,10454,535.68,2155,7055,30.55
"3191","Yes",7,10241,68.35,1760,6913,25.46
"3192","Yes",20,22291,89.72,5024,15381,32.66
"3193","Yes",16,19508,82.02,3430,13335,25.72
"3194","Yes",6,12965,46.28,2509,9099,27.57
"3195","Yes",29,35869,80.85,7175,24187,29.66
"3196","Yes",51,25327,201.37,5378,17250,31.18
"3197","Yes",8,11548,69.28,2394,8018,29.86
"3198","Yes",11,16463,66.82,3925,11304,34.72
"3199","Yes",48,54298,88.4,13505,37117,36.38
"3200","Yes",16,5762,277.68,1862,3696,50.38
"3201","Yes",19,20711,91.74,4471,13483,33.16
"3202","Yes",0,2907,0,499,1751,28.5
"3204","Yes",36,30635,117.51,5923,20032,29.57
"3205","Yes",14,10920,128.21,1921,7813,24.59
"3206","Yes",17,10359,164.11,1533,7087,21.63
"3207","Yes",35,16175,216.38,2487,11660,21.33
"3335","Yes",27,5856,461.07,920,3513,26.19
"3337","Yes",161,36454,441.65,8406,22460,37.43
"3427","Yes",11,2763,398.12,563,1872,30.07
"3428","No",0,675,0,152,432,35.19
"3429","Yes",84,36297,231.42,7923,24366,32.52
"3752","Yes",77,24060,320.03,4675,15013,31.14
"3765","Yes",14,6761,207.07,1423,4457,31.93
"3766","No",1,1239,80.71,251,855,29.36
"3767","No",2,1251,159.87,301,867,34.72
"3770","Yes",1,3218,31.08,700,2171,32.24
"3775","Yes",3,3861,77.7,846,2597,32.58
"3777","Yes",10,10751,93.01,2857,7322,39.02
"3781","Yes",1,4477,22.34,887,2819,31.47
"3782","Yes",2,7827,25.55,1695,5230,32.41
"3786","Yes",2,1518,131.75,315,1030,30.58
"3787","No",0,1062,0,221,715,30.91
"3788","Yes",0,1738,0,371,1200,30.92
"3789","No",0,265,0,75,199,37.69
"3791","No",1,1437,69.59,289,989,29.22
"3792","No",0,1065,0,208,696,29.89
"3793","Yes",1,3577,27.96,921,2424,38
"3795","No",0,1246,0,292,839,34.8
"3796","Yes",3,9702,30.92,2138,6473,33.03
"3802","Yes",57,24298,234.59,6018,15807,38.07
"3803","Yes",57,10855,525.1,3021,7017,43.05
"3804","Yes",8,8094,98.84,1793,5351,33.51
"3805","Yes",119,56933,209.02,12236,35579,34.39
"3806","Yes",50,48520,103.05,9416,30900,30.47
"3807","Yes",10,7097,140.9,1450,4720,30.72
"3808","Yes",2,3033,65.94,505,1927,26.21
"3809","Yes",32,7210,443.83,1101,4651,23.67
"3810","Yes",49,47894,102.31,9856,29592,33.31
"3910","Yes",24,22588,106.25,4789,15429,31.04
"3911","Yes",2,3414,58.58,795,2330,34.12
"3912","Yes",11,15157,72.57,3452,10285,33.56
"3913","Yes",1,3338,29.96,772,2321,33.26
"3915","Yes",2,9960,20.08,2894,6690,43.26
"3916","No",0,955,0,162,642,25.23
"3918","Yes",2,3705,53.98,840,2445,34.36
"3919","Yes",2,3183,62.83,839,2131,39.37
"3920","No",2,1040,192.31,27,926,2.92
"3926","Yes",0,3242,0,683,2237,30.53
"3927","Yes",4,1667,239.95,366,1153,31.74
"3928","No",1,416,240.38,71,292,24.32
"3929","No",7,905,773.48,160,665,24.06
"3930","Yes",9,17888,50.31,3439,11794,29.16
"3931","Yes",14,23989,58.36,6121,16894,36.23
"3933","No",2,1098,182.15,235,732,32.1
"3934","Yes",13,18548,70.09,3699,12288,30.1
"3936","Yes",4,11024,36.28,3044,7850,38.78
"3937","Yes",0,1524,0,294,1037,28.35
"3938","Yes",0,2823,0,758,2078,36.48
"3939","Yes",5,14524,34.43,4584,10298,44.51
"3940","Yes",3,4930,60.85,1739,3470,50.12
"3941","Yes",4,12172,32.86,3454,8312,41.55
"3942","Yes",4,2313,172.94,622,1677,37.09
"3943","Yes",7,1592,439.7,387,1213,31.9
"3944","No",5,510,980.39,76,400,19
"3975","Yes",30,15248,196.75,2326,8696,26.75
"3976","Yes",59,25530,231.1,5622,15076,37.29
"3977","Yes",133,93326,142.51,17515,56976,30.74
