"Postcode","Include","Confirmed","Population","Cases.per.100K","Semi.detached.Persons","Flat.Persons","House.Persons","Dwelling.persons","Semi.detached.Percent","Flat.Percent","House.Percent"
"3034","Yes",68,11633,584.54,2174,40,8658,10964,19.829,0.365,78.968
"3036","Yes",31,5925,523.21,412,26,5194,5637,7.309,0.461,92.141
"3037","Yes",255,51155,498.48,7451,538,40848,48903,15.236,1.1,83.529
"3038","Yes",88,27262,322.79,2324,132,23671,26152,8.887,0.505,90.513
"3039","Yes",66,14250,463.16,2245,2520,8371,13255,16.937,19.012,63.154
"3040","Yes",88,25936,339.3,4195,4636,15267,24218,17.322,19.143,63.04
"3041","Yes",28,12412,225.59,1878,1196,8555,11691,16.064,10.23,73.176
"3042","Yes",48,15766,304.45,3513,208,11080,15009,23.406,1.386,73.822
"3043","Yes",48,17716,270.94,2452,127,14066,16669,14.71,0.762,84.384
"3044","Yes",102,27116,376.16,6909,878,17279,25233,27.381,3.48,68.478
"3045","No",0,104,0,0,0,0,5,0,0,0
"3046","Yes",173,34063,507.88,8052,1836,21911,31961,25.193,5.745,68.555
"3047","Yes",166,20903,794.14,1621,2308,14754,19191,8.447,12.026,76.88
"3048","Yes",87,18029,482.56,2060,140,14721,16992,12.123,0.824,86.635
"3049","Yes",28,9262,302.31,929,6,7725,8818,10.535,0.068,87.605
"3050","No",1,117,854.7,3,0,0,3,100,0,0
"3051","Yes",218,14940,1459.17,4011,7566,1005,12722,31.528,59.472,7.9
"3052","Yes",30,5694,526.87,1751,2316,329,4440,39.437,52.162,7.41
"3053","Yes",104,18535,561.1,2963,12148,209,15498,19.119,78.384,1.349
"3054","Yes",21,8428,249.17,5466,1435,793,7806,70.023,18.383,10.159
"3055","Yes",41,14159,289.57,2703,3897,6431,13168,20.527,29.594,48.838
"3056","Yes",70,24473,286.03,6727,5687,9827,22549,29.833,25.221,43.581
"3057","Yes",34,11504,295.55,3616,3447,3581,10783,33.534,31.967,33.21
"3058","Yes",119,33778,352.3,6915,1848,22715,31683,21.826,5.833,71.695
"3059","Yes",77,15466,497.87,447,3,14491,14967,2.987,0.02,96.82
"3060","Yes",162,14043,1153.6,1548,149,11386,13161,11.762,1.132,86.513
"3061","Yes",14,5056,276.9,207,108,4393,4844,4.273,2.23,90.69
"3062","No",0,0,0,0,0,0,0,NA,NA,NA
"3063","No",3,573,523.56,0,0,552,552,0,0,100
"3064","Yes",671,75457,889.25,6413,672,65436,72633,8.829,0.925,90.091
"3065","Yes",75,10445,718.05,2774,4593,1413,8875,31.256,51.752,15.921
"3066","Yes",86,8513,1010.22,1457,4755,1176,7528,19.354,63.164,15.622
"3067","Yes",18,8197,219.59,2228,3796,1241,7361,30.268,51.569,16.859
"3068","Yes",45,18662,241.13,9410,3905,3423,16896,55.694,23.112,20.259
"3070","Yes",62,24561,252.43,6418,3190,12739,22557,28.452,14.142,56.475
