"Postcode","Include","Confirmed cases (ever)","Population","Cases.per.100K","Median_age_persons"
"3189","Yes",5,5895,84.82,39
"3190","Yes",56,10454,535.68,39
"3191","Yes",7,10241,68.35,44
"3192","Yes",20,22291,89.72,40
"3193","Yes",16,19508,82.02,46
"3194","Yes",6,12965,46.28,41
"3195","Yes",29,35869,80.85,40
"3196","Yes",51,25327,201.37,40
"3197","Yes",8,11548,69.28,43
"3198","Yes",11,16463,66.82,40
"3199","Yes",48,54298,88.4,41
"3200","Yes",16,5762,277.68,39
"3201","Yes",19,20711,91.74,36
"3202","Yes",0,2907,0,39
"3204","Yes",36,30635,117.51,38
"3205","Yes",14,10920,128.21,36
"3206","Yes",17,10359,164.11,43
"3207","Yes",35,16175,216.38,40
"3335","Yes",27,5856,461.07,31
"3337","Yes",161,36454,441.65,33
"3427","Yes",11,2763,398.12,37
"3428","No",0,675,0,46
"3429","Yes",84,36297,231.42,37
"3752","Yes",77,24060,320.03,34
"3765","Yes",14,6761,207.07,41
"3766","No",1,1239,80.71,42
"3767","No",2,1251,159.87,46
"3770","Yes",1,3218,31.08,40
"3775","Yes",3,3861,77.7,41
"3777","Yes",10,10751,93.01,44
"3781","Yes",1,4477,22.34,36
"3782","Yes",2,7827,25.55,42
"3786","Yes",2,1518,131.75,44
"3787","No",0,1062,0,43
"3788","Yes",0,1738,0,44
"3789","No",0,265,0,48
"3791","No",1,1437,69.59,44
"3792","No",0,1065,0,44
"3793","Yes",1,3577,27.96,42
"3795","No",0,1246,0,42
"3796","Yes",3,9702,30.92,37
"3802","Yes",57,24298,234.59,37
"3803","Yes",57,10855,525.1,35
"3804","Yes",8,8094,98.84,41
"3805","Yes",119,56933,209.02,34
"3806","Yes",50,48520,103.05,36
"3807","Yes",10,7097,140.9,39
"3808","Yes",2,3033,65.94,41
"3809","Yes",32,7210,443.83,30
"3810","Yes",49,47894,102.31,32
"3910","Yes",24,22588,106.25,37
"3911","Yes",2,3414,58.58,40
"3912","Yes",11,15157,72.57,40
"3913","Yes",1,3338,29.96,41
"3915","Yes",2,9960,20.08,41
"3916","No",0,955,0,56
"3918","Yes",2,3705,53.98,41
"3919","Yes",2,3183,62.83,38
"3920","No",2,1040,192.31,22
"3926","Yes",0,3242,0,48
"3927","Yes",4,1667,239.95,52
"3928","No",1,416,240.38,52
"3929","No",7,905,773.48,58
"3930","Yes",9,17888,50.31,44
"3931","Yes",14,23989,58.36,47
"3933","No",2,1098,182.15,45
"3934","Yes",13,18548,70.09,43
"3936","Yes",4,11024,36.28,50
"3937","Yes",0,1524,0,50
"3938","Yes",0,2823,0,54
"3939","Yes",5,14524,34.43,49
"3940","Yes",3,4930,60.85,59
"3941","Yes",4,12172,32.86,46
"3942","Yes",4,2313,172.94,57
"3943","Yes",7,1592,439.7,65
"3944","No",5,510,980.39,67
"3975","Yes",30,15248,196.75,32
"3976","Yes",59,25530,231.1,33
"3977","Yes",133,93326,142.51,32
