"Postcode","Exclude","Confirmed cases (ever)","Population","Cases.per.100K","Semi.detached","Flat","House","Semi.detached_Percent","Flat_Percent","House_Percent","Total.dwelling"
"3089","Yes",17,11733,144.89,437,40,10738,3.894,0.356,95.679,11223
"3090","No",43,2364,1818.95,22,0,2225,0.976,0,98.67,2255
"3091","Yes",0,1588,0,0,0,1455,0,0,98.244,1481
"3093","Yes",9,3891,231.3,521,117,2882,14.755,3.314,81.62,3531
"3094","Yes",7,8960,78.12,841,43,7556,9.928,0.508,89.198,8471
"3095","Yes",29,27771,104.43,785,719,24872,2.969,2.72,94.08,26437
"3096","Yes",3,1961,152.98,0,0,1745,0,0,99.886,1747
"3097","No",2,1443,138.6,9,0,1261,0.7,0,98.056,1286
"3099","Yes",6,4878,123,39,17,4490,0.856,0.373,98.573,4555
"3101","Yes",37,24605,150.38,5024,3806,13346,22.552,17.085,59.909,22277
"3102","Yes",8,6635,120.57,1185,494,4603,18.824,7.847,73.122,6295
"3103","Yes",9,15343,58.66,3162,1203,10201,21.585,8.212,69.636,14649
"3104","Yes",23,20406,112.71,2166,226,17232,10.997,1.147,87.49,19696
"3105","Yes",9,10873,82.77,1320,557,8549,12.628,5.329,81.785,10453
"3106","Yes",24,16618,144.42,2374,237,13012,15.169,1.514,83.144,15650
"3107","Yes",8,13552,59.03,2006,113,10677,15.621,0.88,83.141,12842
"3108","Yes",26,20826,124.84,3629,2371,14187,17.933,11.717,70.108,20236
"3109","Yes",41,28360,144.57,5759,1831,19738,20.956,6.663,71.824,27481
"3111","Yes",15,12347,121.49,801,174,10434,7.012,1.523,91.342,11423
"3113","Yes",7,8457,82.77,13,0,7872,0.164,0,99.256,7931
"3114","Yes",6,3822,156.99,3,0,3644,0.082,0,99.726,3654
"3115","Yes",5,3796,131.72,0,0,3592,0,0,99.75,3601
"3116","Yes",17,9872,172.2,108,0,9208,1.155,0,98.439,9354
"3121","Yes",93,30499,304.93,11604,11528,4183,42.062,41.786,15.162,27588
"3122","Yes",47,23511,199.91,3838,10244,6896,18.114,48.348,32.547,21188
"3123","Yes",21,14321,146.64,2668,4699,5994,19.851,34.963,44.598,13440
"3124","Yes",21,22094,95.05,3793,2389,14126,18.539,11.676,69.042,20460
"3125","Yes",31,15019,206.41,2974,1172,9545,21.617,8.519,69.378,13758
"3126","Yes",3,8056,37.24,1433,503,5528,19.056,6.689,73.511,7520
"3127","Yes",8,18445,43.37,3687,1119,12527,21.169,6.425,71.924,17417
"3128","Yes",34,19828,171.47,4864,4030,9788,25.928,21.482,52.175,18760
"3129","Yes",8,17376,46.04,4483,891,11385,26.658,5.298,67.699,16817
"3130","Yes",17,32174,52.84,4780,945,24678,15.688,3.101,80.991,30470
"3131","Yes",18,22504,79.99,4391,387,16505,20.588,1.815,77.387,21328
"3132","Yes",7,16148,43.35,4000,558,10864,25.855,3.607,70.222,15471
"3133","Yes",21,22125,94.92,2150,127,19031,10.071,0.595,89.142,21349
"3134","Yes",21,32781,64.06,1831,646,28340,5.923,2.09,91.671,30915
"3135","Yes",10,19956,50.11,1002,315,17541,5.292,1.664,92.638,18935
"3136","Yes",41,44369,92.41,2281,600,38749,5.466,1.438,92.863,41727
"3137","Yes",69,13871,497.44,1042,56,11742,8.092,0.435,91.186,12877
"3138","Yes",23,21967,104.7,655,33,20077,3.144,0.158,96.38,20831
"3139","Yes",8,13718,58.32,36,13,12755,0.28,0.101,99.091,12872
"3140","Yes",20,16531,120.98,1819,102,13510,11.686,0.655,86.792,15566
"3141","Yes",49,25147,194.85,3941,16041,2167,17.724,72.14,9.745,22236
"3142","Yes",24,12909,185.92,2343,4723,4649,19.964,40.244,39.613,11736
"3143","Yes",26,9054,287.17,1669,3472,3070,20.196,42.014,37.149,8264
"3144","Yes",18,10886,165.35,1834,2303,5758,18.205,22.861,57.157,10074
"3145","Yes",28,23295,120.2,4670,2976,14033,21.266,13.552,63.903,21960
"3146","Yes",22,25255,87.11,3945,3979,16029,16.423,16.565,66.729,24021
"3147","Yes",21,14637,143.47,1769,1534,10264,12.945,11.226,75.112,13665
"3148","Yes",16,8641,185.16,2113,727,5340,25.74,8.856,65.051,8209
"3149","Yes",25,33611,74.38,2427,5967,23927,7.48,18.391,73.744,32446
"3150","Yes",58,60079,96.54,4534,2829,50656,7.801,4.868,87.158,58120
"3151","Yes",7,10273,68.14,1616,128,8196,16.222,1.285,82.273,9962
"3152","Yes",23,33092,69.5,3172,251,28003,10.029,0.794,88.539,31628
"3153","Yes",9,20554,43.79,3854,1026,14247,20.079,5.345,74.226,19194
"3154","Yes",1,4419,22.63,129,65,3868,3.167,1.596,94.967,4073
"3155","Yes",10,22195,45.06,3710,316,16820,17.748,1.512,80.463,20904
"3156","Yes",15,37464,40.04,1626,273,33448,4.588,0.77,94.377,35441
"3158","Yes",3,6652,45.1,32,38,6253,0.506,0.601,98.846,6326
"3159","Yes",3,2648,113.29,11,0,2395,0.456,0,99.254,2413
"3160","Yes",7,9014,77.66,76,9,8452,0.887,0.105,98.692,8564
"3161","Yes",18,15269,117.89,3508,3406,6982,25.084,24.355,49.925,13985
"3162","Yes",9,17448,51.58,5058,1807,9260,31.166,11.134,57.058,16229
"3163","Yes",29,32353,89.64,8486,8235,13776,27.671,26.853,44.921,30667
"3165","Yes",19,27635,68.75,3637,2986,19709,13.746,11.286,74.492,26458
"3166","Yes",17,23757,71.56,4148,2288,15940,18.459,10.182,70.933,22472
"3167","Yes",15,9261,161.97,651,172,8088,7.292,1.927,90.591,8928
"3168","Yes",20,20197,99.02,7718,3157,8088,40.476,16.557,42.417,19068
"3169","Yes",18,20122,89.45,4630,977,13673,23.946,5.053,70.716,19335
"3170","Yes",20,19368,103.26,3165,86,15123,17.197,0.467,82.172,18404
"3171","Yes",14,21714,64.47,3563,1209,15703,17.248,5.853,76.018,20657
"3172","Yes",13,23089,56.3,2167,277,19607,9.779,1.25,88.483,22159
"3173","Yes",32,25785,124.1,1588,322,23121,6.334,1.284,92.222,25071
"3174","Yes",25,38461,65,3687,4845,27665,10.153,13.342,76.185,36313
"3175","Yes",191,53297,358.37,11250,4830,32459,22.828,9.801,65.865,49281
"3177","Yes",32,11306,283.04,1379,108,8804,13.067,1.023,83.427,10553
"3178","Yes",30,33672,89.09,934,407,31079,2.85,1.242,94.843,32769
"3179","Yes",9,6022,149.45,120,3,5705,2.054,0.051,97.655,5842
"3180","Yes",3,7462,40.2,1018,8,6105,14.258,0.112,85.504,7140
"3181","Yes",61,20260,301.09,5594,8909,2520,32.502,51.763,14.642,17211
"3182","Yes",45,23391,192.38,3121,13715,1859,16.085,70.685,9.581,19403
"3183","Yes",34,18497,183.81,3176,9058,4392,18.943,54.026,26.196,16766
"3184","Yes",10,15543,64.34,2474,8592,2782,17.788,61.777,20.003,13908
"3185","Yes",24,12929,185.63,2250,3636,5926,18.849,30.46,49.644,11937
"3186","Yes",48,23253,206.42,3979,2890,14027,18.836,13.681,66.403,21124
"3187","Yes",12,15998,75.01,3346,573,10844,22.579,3.867,73.176,14819
"3188","Yes",8,18083,44.24,3138,1657,11940,18.601,9.822,70.777,16870
"3189","Yes",5,5895,84.82,420,436,4636,7.632,7.923,84.245,5503
"3190","Yes",56,10454,535.68,2690,748,6297,27.354,7.606,64.033,9834
"3191","Yes",7,10241,68.35,2117,1158,5831,23.099,12.635,63.622,9165
"3192","Yes",20,22291,89.72,4014,2431,14334,19.139,11.591,68.345,20973
"3193","Yes",16,19508,82.02,3379,629,14109,18.453,3.435,77.052,18311
"3194","Yes",6,12965,46.28,3828,1601,6534,31.697,13.257,54.103,12077
"3195","Yes",29,35869,80.85,7830,2839,22865,23.198,8.411,67.742,33753
"3196","Yes",51,25327,201.37,5089,4440,13472,21.852,19.066,57.85,23288
"3197","Yes",8,11548,69.28,3339,678,6718,30.951,6.285,62.273,10788
"3198","Yes",11,16463,66.82,2506,401,12172,16.542,2.647,80.349,15149
"3199","Yes",48,54298,88.4,6204,1415,42000,12.452,2.84,84.297,49824
"3200","Yes",16,5762,277.68,247,21,4803,4.849,0.412,94.287,5094
"3201","Yes",19,20711,91.74,3054,81,15740,15.914,0.422,82.018,19191
"3202","Yes",0,2907,0,236,144,2263,8.926,5.446,85.59,2644
"3204","Yes",36,30635,117.51,5793,3618,19636,19.828,12.384,67.21,29216
"3205","Yes",14,10920,128.21,4241,4633,626,44.03,48.1,6.499,9632
"3206","Yes",17,10359,164.11,6018,1530,1748,64.281,16.343,18.671,9362
"3207","Yes",35,16175,216.38,7446,6143,904,51.116,42.171,6.206,14567
"3335","Yes",27,5856,461.07,159,12,5050,2.928,0.221,93.002,5430
