"Postcode","Include","Confirmed cases (ever)","Population","Cases.per.100K","Under.500","Under.500.Percent","Age.15.Over.not.Nil.or.Negative"
"3137","Yes",69,13871,497.44,3289,34.49,9535
"3138","Yes",23,21967,104.7,4839,32.47,14905
"3139","Yes",8,13718,58.32,3014,33.22,9074
"3140","Yes",20,16531,120.98,3892,34.28,11352
"3141","Yes",49,25147,194.85,3326,17.84,18641
"3142","Yes",24,12909,185.92,1598,17.32,9228
"3143","Yes",26,9054,287.17,1371,21.21,6464
"3144","Yes",18,10886,165.35,1549,20.95,7395
"3145","Yes",28,23295,120.2,4282,28.1,15241
"3146","Yes",22,25255,87.11,4076,23.91,17049
"3147","Yes",21,14637,143.47,3074,32.27,9525
"3148","Yes",16,8641,185.16,1963,34.1,5757
"3149","Yes",25,33611,74.38,7455,33.18,22468
"3150","Yes",58,60079,96.54,14140,35.57,39751
"3151","Yes",7,10273,68.14,2823,40.13,7035
"3152","Yes",23,33092,69.5,7951,34.79,22855
"3153","Yes",9,20554,43.79,4603,33.19,13867
"3154","Yes",1,4419,22.63,936,31.87,2937
"3155","Yes",10,22195,45.06,5401,34.81,15517
"3156","Yes",15,37464,40.04,8483,33.09,25638
"3158","Yes",3,6652,45.1,1372,29.89,4590
"3159","Yes",3,2648,113.29,528,30.9,1709
"3160","Yes",7,9014,77.66,1940,31.68,6124
"3161","Yes",18,15269,117.89,2476,24.22,10221
"3162","Yes",9,17448,51.58,3249,27.74,11713
"3163","Yes",29,32353,89.64,6379,28.9,22073
"3165","Yes",19,27635,68.75,5785,31.88,18144
"3166","Yes",17,23757,71.56,5332,33.79,15781
"3167","Yes",15,9261,161.97,2423,38.15,6352
"3168","Yes",20,20197,99.02,4860,41.08,11830
"3169","Yes",18,20122,89.45,5598,41.46,13501
"3170","Yes",20,19368,103.26,4617,35.93,12849
"3171","Yes",14,21714,64.47,6717,49.52,13564
"3172","Yes",13,23089,56.3,5892,38.83,15175
"3173","Yes",32,25785,124.1,5900,35.88,16444
"3174","Yes",25,38461,65,10657,42.95,24812
"3175","Yes",191,53297,358.37,14886,44.74,33275
"3177","Yes",32,11306,283.04,3405,48.47,7025
"3178","Yes",30,33672,89.09,7279,31.68,22974
"3179","Yes",9,6022,149.45,1365,34.24,3986
"3180","Yes",3,7462,40.2,1716,33.81,5076
"3181","Yes",61,20260,301.09,3397,22.11,15364
"3182","Yes",45,23391,192.38,3433,20.05,17125
"3183","Yes",34,18497,183.81,2867,22.03,13014
"3184","Yes",10,15543,64.34,1938,17.23,11250
"3185","Yes",24,12929,185.63,2102,23.93,8785
"3186","Yes",48,23253,206.42,3545,22.81,15541
"3187","Yes",12,15998,75.01,2884,27.61,10444
"3188","Yes",8,18083,44.24,3548,29.72,11939
"3189","Yes",5,5895,84.82,1343,33.71,3984
"3190","Yes",56,10454,535.68,2155,30.55,7055
"3191","Yes",7,10241,68.35,1760,25.46,6913
"3192","Yes",20,22291,89.72,5024,32.66,15381
"3193","Yes",16,19508,82.02,3430,25.72,13335
"3194","Yes",6,12965,46.28,2509,27.57,9099
