"Postcode","Exclude","Confirmed cases (ever)","Population","Cases.per.100K","Transport_postal_warehouse","Transport_percentage","Employed.15.over"
"3140","Yes",20,16531,120.98,278,3.392,8195
"3141","Yes",49,25147,194.85,338,2.24,15092
"3142","Yes",24,12909,185.92,119,1.836,6483
"3143","Yes",26,9054,287.17,100,2.045,4890
"3144","Yes",18,10886,165.35,124,2.348,5280
"3145","Yes",28,23295,120.2,280,2.517,11125
"3146","Yes",22,25255,87.11,302,2.302,13120
"3147","Yes",21,14637,143.47,211,3.111,6782
"3148","Yes",16,8641,185.16,145,3.488,4157
"3149","Yes",25,33611,74.38,497,3.27,15200
"3150","Yes",58,60079,96.54,865,3.315,26092
"3151","Yes",7,10273,68.14,165,3.69,4471
"3152","Yes",23,33092,69.5,544,3.391,16042
"3153","Yes",9,20554,43.79,391,3.891,10049
"3154","Yes",1,4419,22.63,79,3.522,2243
"3155","Yes",10,22195,45.06,406,3.746,10838
"3156","Yes",15,37464,40.04,696,3.614,19257
"3158","Yes",3,6652,45.1,125,3.468,3604
"3159","Yes",3,2648,113.29,42,3.102,1354
"3160","Yes",7,9014,77.66,147,3.079,4774
"3161","Yes",18,15269,117.89,154,2.02,7623
"3162","Yes",9,17448,51.58,219,2.558,8562
"3163","Yes",29,32353,89.64,506,3.054,16567
"3165","Yes",19,27635,68.75,456,3.452,13208
"3166","Yes",17,23757,71.56,392,3.425,11445
"3167","Yes",15,9261,161.97,221,5.012,4409
"3168","Yes",20,20197,99.02,298,3.956,7533
"3169","Yes",18,20122,89.45,493,5.632,8753
"3170","Yes",20,19368,103.26,413,4.686,8813
"3171","Yes",14,21714,64.47,470,5.822,8073
"3172","Yes",13,23089,56.3,463,4.484,10325
"3173","Yes",32,25785,124.1,593,5.043,11760
"3174","Yes",25,38461,65,985,6.319,15587
"3175","Yes",191,53297,358.37,1120,5.685,19702
"3177","Yes",32,11306,283.04,233,6.101,3819
"3178","Yes",30,33672,89.09,688,3.834,17946
"3179","Yes",9,6022,149.45,141,4.728,2982
